source,target,window_type,start,end,duration_sec,latency_total_ms,latency_rtt_ms,throughput_mbps,utilization_percent,mode
ONEWEB-0234,HSINCHU,xband,2025-10-08T12:12:00+00:00,2025-10-08T12:20:15+00:00,495.0,8.91,17.82,40.0,80.0,transparent
IRIDIUM-NEXT-108,TAINAN,xband,2025-10-08T12:13:00+00:00,2025-10-08T12:21:45+00:00,525.0,8.91,17.82,40.0,80.0,transparent
STARLINK-7891,HSINCHU,cmd,2025-10-08T18:30:00+00:00,2025-10-08T18:38:45+00:00,525.0,8.91,17.82,40.0,80.0,transparent
STARLINK-7891,TAIPEI,xband,2025-10-08T18:39:15+00:00,2025-10-08T18:47:00+00:00,465.0,8.91,17.82,40.0,80.0,transparent
ONEWEB-0567,KAOHSIUNG,cmd,2025-10-08T19:15:30+00:00,2025-10-08T19:24:15+00:00,525.0,8.91,17.82,40.0,80.0,transparent
ONEWEB-0567,TAINAN,xband,2025-10-08T19:24:45+00:00,2025-10-08T19:32:30+00:00,465.0,8.91,17.82,40.0,80.0,transparent
IRIDIUM-NEXT-108,TAIPEI,cmd,2025-10-08T20:45:00+00:00,2025-10-08T20:53:30+00:00,510.0,8.91,17.82,40.0,80.0,transparent
IRIDIUM-NEXT-108,HSINCHU,xband,2025-10-08T20:54:00+00:00,2025-10-08T21:02:15+00:00,495.0,8.91,17.82,40.0,80.0,transparent
GPS-IIF-12,TAICHUNG,cmd,2025-10-08T22:00:15+00:00,2025-10-08T22:35:45+00:00,2130.0,8.91,17.82,40.0,80.0,transparent
STARLINK-5123,HUALIEN,cmd,2025-10-08T23:15:00+00:00,2025-10-08T23:23:30+00:00,510.0,8.91,17.82,40.0,80.0,transparent
STARLINK-5123,TAIPEI,xband,2025-10-08T23:24:00+00:00,2025-10-08T23:31:45+00:00,465.0,8.91,17.82,40.0,80.0,transparent
